# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,1,0.100,11.7,241.299816,0.592913,4.026436e-08
13,0,0.700,27.7,259.720819,0.589816,3.863653e-08
13,1,0.700,36.9,427.906724,0.590097,2.730477e-08
13,0,0.300,49.2,205.282126,0.489937,2.756192e-08
13,0,0.700,36.9,190.610826,0.528121,2.388527e-08
13,1,-0.500,20.7,233.865805,0.451195,1.989913e-08
13,0,-0.100,15.6,230.292580,0.718451,4.406103e-08
13,1,0.700,15.6,192.456893,0.546490,2.962484e-08
13,1,0.500,27.7,220.177753,0.424006,1.869172e-08
13,0,0.500,20.7,202.056195,0.461152,2.542923e-08
13,1,0.700,49.2,408.567668,0.547315,3.107064e-08
13,1,0.900,20.7,195.666280,0.449422,1.533965e-08
13,0,-0.100,36.9,194.257110,0.493358,1.937200e-08
13,0,-0.100, 6.6,232.479344,0.601092,3.706638e-08
13,0,0.500,27.7,397.214755,0.611972,3.176195e-08
13,1,0.300,36.9,227.657727,0.463578,2.674103e-08
13,0,0.500,20.7,242.809057,0.698297,4.632664e-08
13,0,-0.900, 8.7,309.482867,0.604006,3.835623e-08
13,1,0.300,27.7,226.548852,0.449925,2.024637e-08
13,0,0.700,49.2,404.996288,0.220308,2.708856e-09
13,0,-0.100,20.7,195.132945,0.517661,1.999266e-08
13,0,0.700, 8.7,208.211525,0.355853,1.223312e-08
13,1,0.100,36.9,238.609124,0.324771,1.553425e-08
13,1,0.300,20.7,187.061111,0.576927,2.825295e-08
13,1,-0.100,49.2,188.660149,0.330854,1.315824e-08
13,1,0.100,20.7,252.913104,0.622543,3.547629e-08
13,0,0.300,20.7,339.154056,0.641022,3.202265e-08
13,0,0.500,20.7,228.685894,0.635855,3.960866e-08
13,0,0.700,36.9,326.163061,0.705522,4.104482e-08
13,1,0.900,49.2,267.217255,0.770346,4.839554e-08
13,0,0.500,27.7,170.555945,0.300276,5.949749e-09
13,1,0.700,20.7,234.662814,0.618767,3.596759e-08
13,0,-0.100, 6.6,214.711473,0.413755,2.219109e-08
13,0,-0.100,20.7,260.364383,0.680669,4.798236e-08
13,0,0.700,36.9,274.652842,0.517447,2.831134e-08
13,0,0.500,15.6,211.145565,0.472544,2.547438e-08
13,0,0.300,20.7,236.562045,0.606715,4.417086e-08
13,1,0.500,36.9,188.032286,0.348120,9.953469e-09
13,1,0.100,20.7,233.291951,0.570989,3.399998e-08
13,1,0.500,36.9,239.541866,0.528954,3.113381e-08
13,0,-0.100,15.6,246.922328,0.502211,1.803482e-08
13,0,-0.500, 8.7,221.934483,0.498163,2.059590e-08
13,1,0.900,36.9,370.276082,0.370149,1.099305e-08
13,0,0.900,36.9,243.264275,0.680581,3.561317e-08
13,1,0.900,36.9,254.314459,0.607570,3.518412e-08
13,0,0.500, 6.6,230.215897,0.653991,3.405006e-08
13,1,0.900,49.2,422.697173,0.251030,5.013405e-09
13,1,0.100,49.2,235.150517,0.590494,2.644485e-08
13,0,-0.900,15.6,291.291184,0.952827,8.630970e-08
